Time (Sec);S8;S6;S7;S9;S30;S31;S25;S22;S23;S24;S5;S17;S28;S21;S26;S19;S27;S18;S20;S16;S29;
83.7003840000346;99.34095679999878;97.9769887999992;98.88630079999892;98.88630079999892;98.43164479999906;97.9769887999992;99.79561279999864;98.43164479999906;96.17351999999977;98.43164479999906;19160.0;96.61302079999963;97.9769887999992;97.9921439999992;99.79561279999864;98.43164479999906;97.9769887999992;99.34095679999878;98.43164479999906;99.34095679999878;99.34095679999878;
83.80038400003508;99.34095679999878;97.9769887999992;98.88630079999892;98.88630079999892;98.43164479999906;97.9769887999992;99.79561279999864;98.43164479999906;96.17351999999977;98.43164479999906;19160.0;96.61302079999963;97.9769887999992;97.9921439999992;99.79561279999864;98.43164479999906;97.9769887999992;99.34095679999878;98.43164479999906;99.34095679999878;99.34095679999878;
83.90038400003556;99.34085679999878;97.9768887999992;98.88620079999892;98.88620079999892;98.43154479999906;97.9768887999992;99.79551279999863;98.43154479999906;96.15826479999977;98.43154479999906;19160.0;96.61292079999963;97.9768887999992;97.9768887999992;99.79551279999863;98.43154479999906;97.9768887999992;99.34085679999878;98.43154479999906;99.34085679999878;99.34085679999878;
84.00000000003142;99.34085679999878;97.9768887999992;98.88620079999892;98.88620079999892;98.43154479999906;97.9768887999992;99.79551279999863;98.43154479999906;96.15826479999977;98.43154479999906;19160.0;96.61292079999963;97.9768887999992;97.9768887999992;99.79551279999863;98.43154479999906;97.9768887999992;99.34085679999878;98.43154479999906;99.34085679999878;99.34085679999878;
84.10021733336984;99.34075679999877;97.9767887999992;98.88610079999891;98.88610079999891;98.41628959999906;97.9767887999992;99.79541279999863;98.43144479999906;96.15816479999977;98.41628959999906;19160.0;96.59766559999963;97.9616335999992;97.9767887999992;99.79541279999863;98.43144479999906;97.9767887999992;99.34075679999877;98.43144479999906;99.34075679999877;99.32560159999878;
84.20021733337032;99.34075679999877;97.9767887999992;98.88610079999891;98.88610079999891;98.41628959999906;97.9767887999992;99.79541279999863;98.43144479999906;96.15816479999977;98.41628959999906;19160.0;96.59766559999963;97.9616335999992;97.9767887999992;99.79541279999863;98.43144479999906;97.9767887999992;99.34075679999877;98.43144479999906;99.34075679999877;99.32560159999878;
84.3002173333708;99.34065679999877;97.9766887999992;98.88600079999891;98.88600079999891;98.40103439999906;97.9766887999992;99.79531279999863;98.43134479999905;96.15806479999976;98.40103439999906;19160.0;96.58241039999963;97.9463783999992;97.9766887999992;99.79531279999863;98.43134479999905;97.9766887999992;99.34065679999877;98.43134479999905;99.34065679999877;99.31034639999878;
84.40021733337127;99.34065679999877;97.9766887999992;98.88600079999891;98.88600079999891;98.40103439999906;97.9766887999992;99.79531279999863;98.43134479999905;96.15806479999976;98.40103439999906;19160.0;96.58241039999963;97.9463783999992;97.9766887999992;99.79531279999863;98.43134479999905;97.9766887999992;99.34065679999877;98.43134479999905;99.34065679999877;99.31034639999878;
84.50021733337175;99.34055679999877;97.97658879999919;98.88590079999891;98.88590079999891;98.38577919999906;97.97658879999919;99.79521279999862;98.43124479999905;96.15796479999976;98.38577919999906;19160.0;96.56715519999963;97.9311231999992;97.97658879999919;99.79521279999862;98.43124479999905;97.97658879999919;99.34055679999877;98.43124479999905;99.34055679999877;99.29509119999878;
84.60021733337223;99.34055679999877;97.97658879999919;98.88590079999891;98.88590079999891;98.38577919999906;97.97658879999919;99.79521279999862;98.43124479999905;96.15796479999976;98.38577919999906;19160.0;96.56715519999963;97.9311231999992;97.97658879999919;99.79521279999862;98.43124479999905;97.97658879999919;99.34055679999877;98.43124479999905;99.34055679999877;99.29509119999878;
84.7002173333727;99.34045679999876;97.97648879999919;98.8858007999989;98.8858007999989;98.37052399999907;97.97648879999919;99.79511279999862;98.43114479999905;96.15786479999976;98.37052399999907;19160.0;96.55189999999963;97.91586799999921;97.97648879999919;99.79511279999862;98.43114479999905;97.97648879999919;99.34045679999876;98.43114479999905;99.34045679999876;99.27983599999878;
84.80021733337318;99.34045679999876;97.97648879999919;98.8858007999989;98.8858007999989;98.37052399999907;97.97648879999919;99.79511279999862;98.43114479999905;96.15786479999976;98.37052399999907;19160.0;96.55189999999963;97.91586799999921;97.97648879999919;99.79511279999862;98.43114479999905;97.97648879999919;99.34045679999876;98.43114479999905;99.34045679999876;99.27983599999878;
84.90021733337366;99.34035679999876;97.97638879999919;98.8857007999989;98.8857007999989;98.35526879999907;97.97638879999919;99.79501279999862;98.43104479999904;96.15776479999975;98.35526879999907;19160.0;96.53664479999964;97.90061279999921;97.97638879999919;99.79501279999862;98.43104479999904;97.97638879999919;99.34035679999876;98.43104479999904;99.34035679999876;99.26458079999878;
85.00021733337414;99.34035679999876;97.97638879999919;98.8857007999989;98.8857007999989;98.35526879999907;97.97638879999919;99.79501279999862;98.43104479999904;96.15776479999975;98.35526879999907;19160.0;96.53664479999964;97.90061279999921;97.97638879999919;99.79501279999862;98.43104479999904;97.97638879999919;99.34035679999876;98.43104479999904;99.34035679999876;99.26458079999878;
85.10021733337462;99.34025679999876;97.97628879999918;98.8856007999989;98.8856007999989;98.34001359999907;97.97628879999918;99.79491279999861;98.43094479999904;96.15766479999975;98.34001359999907;19160.0;96.52138959999964;97.88535759999921;97.97628879999918;99.79491279999861;98.43094479999904;97.97628879999918;99.34025679999876;98.43094479999904;99.34025679999876;99.24932559999878;
85.2002173333751;99.34025679999876;97.97628879999918;98.8856007999989;98.8856007999989;98.34001359999907;97.97628879999918;99.79491279999861;98.43094479999904;96.15766479999975;98.34001359999907;19160.0;96.52138959999964;97.88535759999921;97.97628879999918;99.79491279999861;98.43094479999904;97.97628879999918;99.34025679999876;98.43094479999904;99.34025679999876;99.24932559999878;
85.30021733337557;99.34015679999875;97.97618879999918;98.8855007999989;98.8855007999989;98.32475839999907;97.97618879999918;99.79481279999861;98.43084479999904;96.15756479999975;98.32475839999907;19160.0;96.50613439999964;97.87010239999921;97.97618879999918;99.79481279999861;98.43084479999904;97.97618879999918;99.34015679999875;98.43084479999904;99.34015679999875;99.23407039999879;
85.40021733337605;99.34015679999875;97.97618879999918;98.8855007999989;98.8855007999989;98.32475839999907;97.97618879999918;99.79481279999861;98.43084479999904;96.15756479999975;98.32475839999907;19160.0;96.50613439999964;97.87010239999921;97.97618879999918;99.79481279999861;98.43084479999904;97.97618879999918;99.34015679999875;98.43084479999904;99.34015679999875;99.23407039999879;
85.50021733337653;99.34005679999875;97.97608879999918;98.88540079999889;98.88540079999889;98.30950319999907;97.97608879999918;99.7947127999986;98.43074479999903;96.15746479999974;98.30950319999907;19160.0;96.49087919999964;97.85484719999921;97.97608879999918;99.7947127999986;98.43074479999903;97.97608879999918;99.34005679999875;98.43074479999903;99.34005679999875;99.21881519999879;
85.600217333377;99.34005679999875;97.97608879999918;98.88540079999889;98.88540079999889;98.30950319999907;97.97608879999918;99.7947127999986;98.43074479999903;96.15746479999974;98.30950319999907;19160.0;96.49087919999964;97.85484719999921;97.97608879999918;99.7947127999986;98.43074479999903;97.97608879999918;99.34005679999875;98.43074479999903;99.34005679999875;99.21881519999879;
85.70021733337748;99.33995679999875;97.97598879999917;98.88530079999889;98.88530079999889;98.29424799999907;97.97598879999917;99.7946127999986;98.43064479999903;96.15736479999974;98.29424799999907;19160.0;96.47562399999964;97.83959199999921;97.97598879999917;99.7946127999986;98.43064479999903;97.97598879999917;99.33995679999875;98.43064479999903;99.33995679999875;99.20355999999879;
85.80021733337796;99.33995679999875;97.97598879999917;98.88530079999889;98.88530079999889;98.29424799999907;97.97598879999917;99.7946127999986;98.43064479999903;96.15736479999974;98.29424799999907;19160.0;96.47562399999964;97.83959199999921;97.97598879999917;99.7946127999986;98.43064479999903;97.97598879999917;99.33995679999875;98.43064479999903;99.33995679999875;99.20355999999879;
85.90021733337844;99.33985679999874;97.97588879999917;98.88520079999888;98.88520079999888;98.27899279999907;97.97588879999917;99.7945127999986;98.43054479999903;96.15726479999974;98.27899279999907;19160.0;96.46036879999964;97.82433679999922;97.97588879999917;99.7945127999986;98.43054479999903;97.97588879999917;99.33985679999874;98.43054479999903;99.33985679999874;99.18830479999879;
86.00021733337891;99.33985679999874;97.97588879999917;98.88520079999888;98.88520079999888;98.27899279999907;97.97588879999917;99.7945127999986;98.43054479999903;96.15726479999974;98.27899279999907;19160.0;96.46036879999964;97.82433679999922;97.97588879999917;99.7945127999986;98.43054479999903;97.97588879999917;99.33985679999874;98.43054479999903;99.33985679999874;99.18830479999879;
86.10021733337939;99.33975679999874;97.97578879999917;98.88510079999888;98.88510079999888;98.26373759999908;97.97578879999917;99.7944127999986;98.43044479999902;96.15716479999973;98.26373759999908;19160.0;96.44511359999964;97.80908159999922;97.97578879999917;99.7944127999986;98.43044479999902;97.97578879999917;99.33975679999874;98.43044479999902;99.33975679999874;99.17304959999879;
86.20021733337987;99.33975679999874;97.97578879999917;98.88510079999888;98.88510079999888;98.26373759999908;97.97578879999917;99.7944127999986;98.43044479999902;96.15716479999973;98.26373759999908;19160.0;96.44511359999964;97.80908159999922;97.97578879999917;99.7944127999986;98.43044479999902;97.97578879999917;99.33975679999874;98.43044479999902;99.33975679999874;99.17304959999879;
86.30021733338035;99.33965679999874;97.97568879999916;98.88500079999888;98.88500079999888;98.24848239999908;97.97568879999916;99.7943127999986;98.43034479999902;96.15706479999973;98.24848239999908;19160.0;96.42985839999965;97.79382639999922;97.97568879999916;99.7943127999986;98.43034479999902;97.97568879999916;99.33965679999874;98.43034479999902;99.33965679999874;99.15779439999879;
86.40021733338082;99.33965679999874;97.97568879999916;98.88500079999888;98.88500079999888;98.24848239999908;97.97568879999916;99.7943127999986;98.43034479999902;96.15706479999973;98.24848239999908;19160.0;96.42985839999965;97.79382639999922;97.97568879999916;99.7943127999986;98.43034479999902;97.97568879999916;99.33965679999874;98.43034479999902;99.33965679999874;99.15779439999879;
